Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
900061,5/14/2012,in Ordnung,nein,ja,0,6,3,Kleiber,0,
900062,5/14/2012,leicht defekt,nein,ja,6,0, ,Kohlmeise, ,
900063,5/14/2012,in Ordnung,nein,nein, , , , , ,
900064,5/14/2012,in Ordnung,nein,ja,10,0, ,Kohlmeise, ,
900065,5/14/2012,in Ordnung,ja,ja,6,3,1,Blaumeise,0,prädiert
900066,5/14/2012,in Ordnung,nein,nein, , , , , ,
900067,5/14/2012,in Ordnung,nein,ja,4,0, ,Kohlmeise, ,
900068,5/14/2012,in Ordnung,nein,ja,0,7,4,Blaumeise,0,
900069,5/14/2012,in Ordnung,nein,ja,0,5,1,unbestimmt,0,
900070,5/14/2012,in Ordnung,nein,ja,3,0, ,Kohlmeise, ,
900071,5/14/2012,in Ordnung,nein,ja,0,6,12,Kleiber,6,
900072,5/14/2012,defekt,nein,ja,0,0, ,Meise unbestimmt, ,
900073,5/14/2012,in Ordnung,nein,ja,0,10,1,Blaumeise,0,
900074,5/14/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
900075,5/14/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
900076,5/14/2012,in Ordnung,nein,ja,8,1,1,Blaumeise,0,Weibchen beringt
900077,5/14/2012,in Ordnung,nein,ja,3,5,1,Kohlmeise,0,
900078,5/14/2012,in Ordnung,nein,nein, , , , , ,
900079,5/14/2012,in Ordnung,nein,ja,0,6,2,Kohlmeise,0,
900080,5/14/2012,in Ordnung,nein,ja,0,8,1,Blaumeise,0,
900081,5/14/2012,leicht defekt,nein,nein, , , , , ,
900082,5/14/2012,in Ordnung,nein,ja,8,0, ,Kohlmeise, ,
900083,5/14/2012,in Ordnung,nein,ja,0,6,1,Kohlmeise,0,
900084,5/14/2012,in Ordnung,nein,ja,0,12,1,Blaumeise,0,
900085,5/14/2012,in Ordnung,nein,ja,0,5,1,Blaumeise,0,
900086,5/14/2012,Vorderfront gebrochen,nein,ja,0,0, ,Hohltaube, ,
900087,5/14/2012,in Ordnung,nein,ja,2,0, ,Blaumeise, ,
900088,5/14/2012,in Ordnung,nein,ja,11,0, ,Kohlmeise, ,
900089,5/14/2012,in Ordnung,nein,ja,9,0, ,Kohlmeise, ,
900090,5/14/2012,in Ordnung,nein,ja,12,0, ,Blaumeise, ,Weibchen beringt
900091,5/14/2012,in Ordnung,nein,ja,8,0, ,Kohlmeise, ,Weibchen beringt
900092,5/14/2012,in Ordnung,nein,ja,8,0, ,Blaumeise, ,Weibchen beringt
900093,5/14/2012,in Ordnung,nein,ja,0,11,1,Blaumeise,0,Weibchen beringt
900094,5/14/2012,in Ordnung,nein,ja,0,7,6,Blaumeise,6,
900095,5/14/2012,in Ordnung,nein,ja,0,6,5,Kohlmeise,6,
900096,5/14/2012,in Ordnung,nein,ja,14,0, ,Blaumeise, ,
900097,5/14/2012,in Ordnung,nein,ja,0,5,12,Kleiber,5,
900098,5/14/2012,in Ordnung,nein,ja,0,11,2,Blaumeise,0,
900099,5/14/2012,in Ordnung,nein,ja,1,11,5,Blaumeise,11,
900100,5/14/2012,in Ordnung,nein,ja,0,9,3,Blaumeise,0,
900101,5/14/2012,in Ordnung,nein,ja,0,5,2,Kleiber,0,Weibchen beringt
900102,5/14/2012,in Ordnung,nein,ja,0,7,3,Kohlmeise,0,
900103,5/14/2012,in Ordnung,nein,ja,0,8,3,Blaumeise,0,
900104,5/14/2012,in Ordnung,nein,ja,0,6,2,Kohlmeise,0,
900105,5/14/2012,in Ordnung,nein,ja,0,7,2,Meise unbestimmt,0,
900106,5/14/2012,in Ordnung,nein,ja,0,11,2,Blaumeise,0,
900107,5/14/2012,in Ordnung,nein,ja,0,5,6,Kohlmeise,0,
900108,5/14/2012,in Ordnung,nein,ja,0,8,2,Kohlmeise,0,
900109,5/14/2012,in Ordnung,nein,nein, , , , , ,
900110,5/14/2012,in Ordnung,nein,ja,0,7,2,Blaumeise,0,Weibchen beringt
900111,5/14/2012,in Ordnung,nein,nein, , , , , ,
900112,5/14/2012,in Ordnung,nein,ja,8,0,0,Kohlmeise, ,
400082,5/15/2012,in Ordnung,nein,ja,0,10,6,Blaumeise,10,
400069,5/15/2012,in Ordnung,nein,ja,9,0, ,Blaumeise, ,
400079,5/15/2012,in Ordnung,nein,ja,10,0, ,Blaumeise, ,
400070,5/15/2012,in Ordnung,nein,ja,0,7,2,Meise unbestimmt,0,
400066,5/15/2012,in Ordnung,nein,ja,0,7,3,Meise unbestimmt,0,
400068,5/15/2012,in Ordnung,nein,ja,0,0,0,unbestimmt, ,
400197,5/15/2012,in Ordnung,nein,ja,5,0, ,Feldsperling, ,
400198,5/15/2012,in Ordnung,nein,nein, , , , , ,
400199,5/15/2012,in Ordnung,nein,ja,2,8,1,Blaumeise,0,
400077,5/15/2012,in Ordnung,nein,ja,0,4,13,Kohlmeise,4,
400200,5/15/2012,in Ordnung,nein,nein, , , , , ,
400201,5/15/2012,in Ordnung,nein,ja,0,6,2,Blaumeise,0,Weibchen beringt
400202,5/15/2012,in Ordnung,nein,ja,8,0, ,Kohlmeise, ,Weibchen beringt
400074,5/15/2012,in Ordnung,nein,ja,5,0, ,Kohlmeise, ,
400203,5/15/2012,in Ordnung,nein,ja,0,8,8,Kohlmeise,8,
400205,5/15/2012,in Ordnung,nein,ja,0,10,4,Blaumeise,0,Männchen beringt
400204,5/15/2012,in Ordnung,nein,ja,0,9,2,Blaumeise,0,
400206,5/15/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400207,5/15/2012,in Ordnung,nein,nein, , , , , ,
400067,5/15/2012,in Ordnung,nein,ja,0,7,6,Kohlmeise,7,
400210,5/15/2012,in Ordnung,nein,ja,0,7,15,Kohlmeise,7,
400208,5/15/2012,in Ordnung,nein,nein, , , , , ,
400209,5/15/2012,in Ordnung,nein,nein, , , , , ,
400065,5/15/2012,in Ordnung,nein,nein, , , , , ,
400075,5/15/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400081,5/15/2012,in Ordnung,nein,ja,8,0, ,Blaumeise, ,
400211,5/15/2012,in Ordnung,nein,ja,0,7,7,Kohlmeise,7,Weibchen beringt
400212,5/15/2012,in Ordnung,nein,ja,0,5,6,Kohlmeise,5,
400213,5/15/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400214,5/15/2012,in Ordnung,nein,nein, , , , , ,
400215,5/15/2012,in Ordnung,nein,ja,0,8,2,Blaumeise,0,Weibchen beringt
400055,5/15/2012,in Ordnung,nein,ja,0,8,8,Kohlmeise,8,
400036,5/15/2012,in Ordnung,nein,nein, , , , , ,
400002,5/15/2012,in Ordnung,nein,nein, , , , , ,
400014,5/15/2012,in Ordnung,ja,ja,0,10,2,Blaumeise,0,alle Jungvögel tot
400003,5/15/2012,in Ordnung,nein,nein, , , , , ,
400020,5/15/2012,in Ordnung,nein,nein, , , , , ,
400022,5/15/2012,in Ordnung,nein,ja,0,9,1,Meise unbestimmt,0,
400037,5/15/2012,in Ordnung,nein,nein, , , , , ,
400026,5/15/2012,in Ordnung,nein,ja,10, , ,Blaumeise, ,
400029,5/15/2012,in Ordnung,nein,ja,0,7,8,Blaumeise,7,
400019,5/15/2012,in Ordnung,nein,ja,0,9,14,Kohlmeise,9,
400004,5/15/2012,in Ordnung,nein,nein, , , , , ,
400027,5/15/2012,in Ordnung,nein,nein, , , , , ,
400031,5/15/2012,in Ordnung,nein,nein, , , , , ,
400030,5/15/2012,in Ordnung,nein,ja,0,8,5,Kohlmeise,0,
400025,5/15/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400017,5/15/2012,in Ordnung,nein,nein, , , , , ,
400028,5/15/2012,in Ordnung,nein,ja,0,7,16,Kleiber,7,
400011,5/15/2012,in Ordnung,nein,nein, , , , , ,
400035,5/15/2012,in Ordnung,nein,nein, , , , , ,
400016,5/15/2012,in Ordnung,nein,ja,0,9,3,Blaumeise,0,
400007,5/15/2012,in Ordnung,nein,nein, , , , , ,
400009,5/15/2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
400034,5/15/2012,in Ordnung,nein,nein, , , , , ,
400015,5/15/2012,in Ordnung,nein,nein, , , , , ,
400010,5/15/2012,in Ordnung,nein,ja,0,5,3,Kohlmeise,0,Weibchen Wiederfang
400107,5/15/2012,in Ordnung,nein,ja,0,10,11,Kohlmeise,10,
400051,5/15/2012,in Ordnung,nein,ja,2,4,1,Blaumeise,0,Weibchen beringt
400058,5/15/2012,in Ordnung,nein,ja,0,6,8,Feldsperling,6,
400057,5/15/2012,in Ordnung,nein,ja,0,9,8,Kohlmeise,9,
400060,5/15/2012,in Ordnung,nein,ja,2,4,8,Kohlmeise,4,
400056,5/15/2012,in Ordnung,nein,ja,0,6,8,Feldsperling,6,
400216,5/15/2012,in Ordnung,nein,ja, , , ,Kleiber, ,nicht zu öffnen -> verkleibert
400145,5/15/2012,in Ordnung,nein,ja,1,6,1,Blaumeise,0,
400144,5/15/2012,Front fehlt,nein,nein, , , , , ,
400115,5/15/2012,in Ordnung,nein,ja,0,9,1,Blaumeise,0,
400047,5/15/2012,in Ordnung,nein,nein, , , , , ,
400092,5/15/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,verlassen wg Hornisse
400143,5/15/2012,in Ordnung,nein,ja,0,4,3,Kohlmeise,0,Weibchen beringt
400116,5/15/2012,in Ordnung,nein,ja,0,5,3,Feldsperling,0,Weibchen beringt
400040,5/15/2012,in Ordnung,nein,ja,0,9,3,Blaumeise,0,
400117,5/15/2012,in Ordnung,nein,ja,0,5,2,Kohlmeise,0,Weibchen beringt
400142,5/15/2012,in Ordnung,nein,ja,0,5,2,Meise unbestimmt,0,
400049,5/15/2012,in Ordnung,nein,nein, , , , , ,
400141,5/15/2012,in Ordnung,nein,ja,0,3,3,Blaumeise,0,Weibchen beringt
400118,5/15/2012,in Ordnung,nein,ja,5,1,5,Feldsperling,1,
400043,5/15/2012,in Ordnung,nein,ja,0,9,2,Blaumeise,0,
400140,5/15/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,verlassen wg Hornisse
400119,5/15/2012,in Ordnung,nein,ja,0,6,6,Feldsperling,6,
400139,5/15/2012,in Ordnung,nein,ja,0,9,1,Meise unbestimmt,0,
400217,5/16/2012,Verschluss defekt,nein,ja,0,10,2,Blaumeise,0,Weibchen beringt
400218,5/16/2012,in Ordnung,nein,ja,0,8,10,Kohlmeise,8,
400219,5/16/2012,in Ordnung,nein,nein, , , , , ,
400220,5/16/2012,in Ordnung,nein,nein, , , , , ,
400221,5/16/2012,in Ordnung,nein,nein, , , , , ,
400222,5/16/2012,in Ordnung,nein,nein, , , , , ,
400223,5/16/2012,in Ordnung,nein,ja,1,10,6,Kohlmeise,10,
400224,5/16/2012,in Ordnung,nein,ja,2,14,6,Blaumeise,14,
900033,5/16/2012,in Ordnung,nein,ja,0,6,6,Kohlmeise,6,
900039,5/16/2012,in Ordnung,nein,ja,0,10,6,Blaumeise,10,
900113,5/16/2012,in Ordnung,nein,nein, , , , , ,Hummeln
900114,5/16/2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
900115,5/16/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
900116,5/16/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
900117,5/16/2012,in Ordnung,nein,ja,0,6,12,Star,6,
900118,5/16/2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
900119,5/16/2012,in Ordnung,nein,ja,0,5,3,Kohlmeise,0,Weibchen beringt
900120,5/16/2012,in Ordnung,nein,nein, , , , , ,
900121,5/16/2012,Dach defekt,nein,nein, , , , , ,
900122,5/16/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,evtl. verlassen wg. Hummeln
900123,5/16/2012,in Ordnung,nein,nein, , , , , ,
900124,5/16/2012,in Ordnung,nein,ja,8,0, ,Grauschnäpper, ,
900125,5/16/2012,in Ordnung,nein,ja,0,0, ,Kleiber, ,
900126,5/16/2012,in Ordnung,nein,ja,0,7,4,Kohlmeise,0,
900127,5/16/2012,in Ordnung,nein,ja,0,9,6,Kohlmeise,9,Weibchen beringt
900128,5/16/2012,in Ordnung,nein,nein, , , , , ,
900129,5/16/2012,in Ordnung,nein,ja,0,7,12,Kleiber,7,
900130,5/16/2012,in Ordnung,nein,unbekannt, , , , , ,zugekleibert
900131,5/16/2012,in Ordnung,nein,unbekannt, , , , , ,zugekleibert
900132,5/16/2012,in Ordnung,nein,nein, , , , , ,
900133,5/16/2012,in Ordnung,nein,ja,0,4,12,Star,4,
400120,5/17/2012,in Ordnung,nein,ja,0,6,7,Kleiber,6,
