Nistkasten-nummer,Nummer-fremd,Ort,Ort detailliert,UTM-Hoch,UTM-Rechts,Aufhäng-Datum,Eigentümer,Material,Loch,Bemerkungen,Daten aktualisiert
900034,24,Vechta,Füchteler Wald,5841756,453573,1/1/1999,NABU Vechta,Holz unbeschichtet,Halbhöhle,,
900035,25,Vechta,Füchteler Wald,5841741,453581,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900036,23,Vechta,Füchteler Wald,5841734,453600,1/1/1999,NABU Vechta,Holz unbeschichtet,Halbhöhle,,
900037,22,Vechta,Füchteler Wald,5841706,453626,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900038,21,Vechta,Füchteler Wald,5841726,453637,1/1/1999,NABU Vechta,Holz beschichtet,Sonstiges,Baumläufer,
900039,44,Vechta,Füchteler Wald,5841662,453627,1/1/1999,NABU Vechta,Holz beschichtet,Sonstiges,Baumläufer,
900040,42,Vechta,Füchteler Wald,5841642,453632,1/1/1999,NABU Vechta,Holz beschichtet,Sonstiges,Baumläufer,
900041,43,Vechta,Füchteler Wald,5841647,453629,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900042,41,Vechta,Füchteler Wald,5841619,453607,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900043,40,Vechta,Füchteler Wald,5841591,453594,1/1/1999,NABU Vechta,Holz unbeschichtet,Sonstiges,Baumläufer,
900044,39,Vechta,Füchteler Wald,5841573,453587,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900045,38,Vechta,Füchteler Wald,5841552,453596,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900046,37,Vechta,Füchteler Wald,5841519,453583,1/1/1999,NABU Vechta,Holz unbeschichtet,Halbhöhle,,
900047,35,Vechta,Füchteler Wald,5841504,453561,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900048,34,Vechta,Füchteler Wald,5841492,453555,1/1/1999,NABU Vechta,Holz unbeschichtet,groß,,
900049,32,Vechta,Füchteler Wald,5841480,453559,1/1/1999,NABU Vechta,Holz unbeschichtet,groß,,
900050,33,Vechta,Füchteler Wald,5841478,453555,1/1/1999,NABU Vechta,Holz unbeschichtet,groß,,
900051,20,Vechta,Füchteler Wald,5841459,453536,1/1/1999,NABU Vechta,Holz beschichtet,Halbhöhle,,
900052,19,Vechta,Füchteler Wald,5841451,453525,1/1/1999,NABU Vechta,Holz beschichtet,Sonstiges,Baumläufer,
900053,18,Vechta,Füchteler Wald,5841399,453505,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900054,17,Vechta,Füchteler Wald,5841375,453477,1/1/1999,NABU Vechta,Holz beschichtet,groß,,
900055,16,Vechta,Füchteler Wald,5841355,453482,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900056,15,Vechta,Füchteler Wald,5841295,453468,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900057,14,Vechta,Füchteler Wald,5841299,453419,1/1/1999,NABU Vechta,Holz beschichtet,Halbhöhle,,
900058,13,Vechta,Füchteler Wald,5841288,453441,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900059,13,Vechta,Füchteler Wald,,,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900060,11,Vechta,Füchteler Wald,,,1/1/1999,NABU Vechta,Holz unbeschichtet,groß,,
900061,,Vechta,Füchteler Wald,5841144,453532,1/1/1999,NABU Vechta,Holz beschichtet,klein,,
900062,8,Vechta,Füchteler Wald,5841143,453355,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900063,9,Vechta,Füchteler Wald,5841111,453353,1/1/1999,NABU Vechta,Holz unbeschichtet,Halbhöhle,,
900064,6,Vechta,Füchteler Wald,,,1/1/1999,NABU Vechta,Holz unbeschichtet,Sonstiges,Baumläufer,
900065,7,Vechta,Füchteler Wald,5841116,453347,1/1/1999,NABU Vechta,Holz beschichtet,klein,,
900066,5,Vechta,Füchteler Wald,5841096,453297,1/1/1999,NABU Vechta,Holz unbeschichtet,sehr groß,,
900067,4,Vechta,Füchteler Wald,5841125,453323,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900068,1,Vechta,Füchteler Wald,5841064,453278,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900069,2,Vechta,Füchteler Wald,5841027,453291,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,oval - 2 Öffnungen,
900070,3,Vechta,Füchteler Wald,5841014,453301,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900071,,Vechta,Füchteler Wald,5841012,453274,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900072,,Vechta,Füchteler Wald,,,1/1/1999,NABU Vechta,Holz unbeschichtet,groß,nicht zu öffnen,
900073,,Vechta,Darener Wald,5842028,448636,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,klein,,
900074,,Vechta,Darener Wald,5841976,448624,1/1/1999,NABU Vechta,Holz unbeschichtet,sehr groß,,
900075,,Vechta,Darener Wald,5841957,448625,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,klein,,
900076,,Vechta,Darener Wald,,,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900077,,Vechta,Darener Wald,,,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900078,,Vechta,Darener Wald,5841897,448653,1/1/1999,NABU Vechta,Holz beschichtet,Halbhöhle,,
900079,,Vechta,Darener Wald,5841812,448735,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900080,,Vechta,Darener Wald,5841825,448762,1/1/1999,unbekannt,Holzbeton,mittel,,
900081,27,Vechta,Darener Wald,5841826,448758,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,oval,
900082,26,Vechta,Darener Wald,5841814,448769,1/1/1999,NABU Vechta,Holz unbeschichtet,sehr groß,,
900083,,Vechta,Darener Wald,5841830,448803,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900084,24,Vechta,Darener Wald,5841844,448795,1/1/1999,NABU Vechta,Holzbeton,mittel,,
900085,,Vechta,Darener Wald,5841834,448819,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900086,22,Vechta,Darener Wald,5841864,448806,1/1/1999,NABU Vechta,Holz unbeschichtet,sehr groß,,
900087,,Vechta,Darener Wald,5841794,448754,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900088,,Vechta,Darener Wald,5841771,448782,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900089,,Vechta,Darener Wald,5841760,448749,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900090,,Vechta,Darener Wald,5841764,448685,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,klein,,
900091,,Vechta,Darener Wald,5841762,448669,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900092,,Vechta,Darener Wald,5841751,448590,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,klein,,
900093,,Vechta,Darener Wald,5841446,448278,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,klein,,
900094,,Vechta,Darener Wald,5841467,448322,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900095,,Vechta,Darener Wald,,,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900096,,Vechta,Darener Wald,5841514,448437,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900097,,Vechta,Darener Wald,5841479,448466,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900098,,Vechta,Darener Wald,5841486,448560,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900099,,Vechta,Darener Wald,5841488,448584,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900100,,Vechta,Darener Wald,5841502,448640,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900101,,Vechta,Darener Wald,5841518,448655,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900102,,Vechta,Darener Wald,5841513,448702,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900103,,Vechta,Darener Wald,5841532,448734,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900104,,Vechta,Darener Wald,5841526,448774,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900105,,Vechta,Darener Wald,5841535,448794,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900106,,Vechta,Darener Wald,5841536,448814,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900107,,Vechta,Darener Wald,5841563,448846,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900108,,Vechta,Darener Wald,5841651,448761,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900109,,Holzhausen,Stegenweg,5844753,454707,1/1/1999,unbekannt,Holz beschichtet,Halbhöhle,,
900110,,Holzhausen,Stegenweg,5844770,454750,1/1/1999,unbekannt,Holz unbeschichtet,klein,,
900111,,Holzhausen,Stegenweg,5844793,454867,1/1/1999,unbekannt,Holz unbeschichtet,mittel,oval,
900112,,Holzhausen,Stegenweg,5844822,454904,1/1/1999,unbekannt,Holz unbeschichtet,mittel,,
900113,,Stoppelmarkt,Nerkamp,5844379,451919,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900114,,Stoppelmarkt,Nerkamp,5844218,451995,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900115,,Stoppelmarkt,Nerkamp,5844373,451918,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900116,,Stoppelmarkt,Nerkamp,5844383,451923,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900117,,Stoppelmarkt,Nerkamp,5844382,451921,1/1/1999,Ludger Nerkamp,Holz beschichtet,groß,Starenkasten,
900118,,Stoppelmarkt,Nerkamp,5844383,451909,1/1/1999,Ludger Nerkamp,Holz beschichtet,Halbhöhle,,
900119,,Stoppelmarkt,Nerkamp,5844382,451917,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,Sonstiges,Baumläufer,
900120,,Stoppelmarkt,Nerkamp,5844375,451917,1/1/1999,Ludger Nerkamp,Holz beschichtet,klein,,
900121,,Stoppelmarkt,Nerkamp,5844368,451935,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,klein,,
900122,,Stoppelmarkt,Nerkamp,5844363,451938,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,klein,,
900123,,Stoppelmarkt,Nerkamp,5844213,451917,1/1/1999,Ludger Nerkamp,Holz beschichtet,Halbhöhle,,
900124,,Stoppelmarkt,Nerkamp,5844354,451916,1/1/1999,Ludger Nerkamp,Holz beschichtet,Halbhöhle,,
900125,,Stoppelmarkt,Nerkamp,5844355,451923,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900126,,Stoppelmarkt,Nerkamp,5844372,451923,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,NABU-Villa,
900127,,Stoppelmarkt,Nerkamp,5844345,451940,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900128,,Stoppelmarkt,Nerkamp,5844357,451954,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900129,,Stoppelmarkt,Nerkamp,,,1/1/1999,Ludger Nerkamp,Holz beschichtet,klein,,
900130,,Stoppelmarkt,Nerkamp,5844363,451933,1/1/1999,Ludger Nerkamp,Holz beschichtet,groß,,
900131,,Stoppelmarkt,Nerkamp,5844367,451930,1/1/1999,Ludger Nerkamp,Holz beschichtet,groß,,
900132,,Stoppelmarkt,Nerkamp,5844367,451930,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,groß,,
900133,,Stoppelmarkt,Nerkamp,5844368,451931,1/1/1999,Ludger Nerkamp,Holz beschichtet,groß,,
900134,11,Stoppelmarkt,Nerkamp,5844339,451939,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,Sonstiges,Baumläufer,
900135,,Stoppelmarkt,Nerkamp,5844339,451934,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900136,,Stoppelmarkt,Nerkamp,5844355,451950,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,klein,,
900137,,Stoppelmarkt,Nerkamp,5844362,451974,1/1/1999,Ludger Nerkamp,Holz beschichtet,groß,,
900138,41,Stoppelmarkt,Nerkamp,5844374,452010,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900139,,Stoppelmarkt,Nerkamp,5844380,452035,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900140,,Stoppelmarkt,Nerkamp,5844398,452029,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,klein,,
900141,,Stoppelmarkt,Nerkamp,5844396,452012,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,groß,,
900142,,Stoppelmarkt,Nerkamp,5844386,452008,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900143,,Stoppelmarkt,Nerkamp,5844415,451974,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,groß,,
900144,,Stoppelmarkt,Nerkamp,5844415,451974,1/1/1999,Ludger Nerkamp,Holz beschichtet,groß,,
900145,,Stoppelmarkt,Nerkamp,5844410,451954,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900146,,Stoppelmarkt,Nerkamp,5844387,451987,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900147,,Stoppelmarkt,Nerkamp,5844387,451978,1/1/1999,Ludger Nerkamp,Holz beschichtet,Sonstiges,Baumläufer,
900148,,Stoppelmarkt,Nerkamp,5844392,451987,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,zwei oval,
900149,,Stoppelmarkt,Nerkamp,5844384,451964,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900150,,Stoppelmarkt,Nerkamp,5844347,451961,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,NABU-Villa,
900151,,Stoppelmarkt,Nerkamp,5844361,451983,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900152,,Stoppelmarkt,Nerkamp,5844368,451973,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900153,,Langförden,NABU-Fledermaushotel,5848187,449654,1/1/1999,NABU Vechta,Holz unbeschichtet,klein,,
900154,,Langförden,NABU-Fledermaushotel,5848177,449657,1/1/1999,NABU Vechta,Holz beschichtet,groß,,
900155,,Langförden,NABU-Fledermaushotel,5848176,449660,1/1/1999,NABU Vechta,Holz beschichtet,groß,,
900156,,Langförden,NABU-Fledermaushotel,5848178,449660,1/1/1999,NABU Vechta,Holz unbeschichtet,Halbhöhle,,
900157,,Langförden,NABU-Fledermaushotel,5848178,449660,1/1/1999,NABU Vechta,Holz beschichtet,groß,,
900158,,Langförden,NABU-Fledermaushotel,5848178,449656,1/1/1999,NABU Vechta,Holz unbeschichtet,klein,,
900159,,Holtrup,Cobold,5847534,453318,1/1/1999,Daniel Cobold,Holz unbeschichtet,mittel,,
900160,,Holtrup,Cobold,5847547,453308,6/30/2012,Daniel Cobold,Holz unbeschichtet,mittel,,
900161,,Holtrup,Cobold,5847549,453292,6/30/2012,Daniel Cobold,Holzbeton,mittel,oval,
900162,,Holtrup,Cobold,5847567,453288,6/30/2012,Daniel Cobold,Holzbeton,mittel,oval,
900163,,Holtrup,Cobold,5847571,453289,6/30/2012,Daniel Cobold,Holz unbeschichtet,Halbhöhle,,
900164,,Holtrup,Cobold,5847589,453290,6/30/2012,Daniel Cobold,Holzbeton,mittel,,
900165,,Holtrup,Cobold,5847599,453310,6/30/2012,Daniel Cobold,Holz beschichtet,mittel,,
900166,,Holtrup,Cobold,5847608,453345,6/30/2012,Daniel Cobold,Holzbeton,mittel,oval,
900167,,Holtrup,Cobold,5847605,453328,6/30/2012,Daniel Cobold,Holzbeton,mittel,oval,
900168,,Langförden-Nord,Rieken,5849783,450007,1/1/1999,Wilhelm Rieken,Holz unbeschichtet,mittel,,
900169,,Langförden-Nord,Rieken,5849762,450021,1/1/1999,Wilhelm Rieken,Holz beschichtet,groß,,
900170,,Langförden-Nord,Rieken,5849754,450025,1/1/1999,Wilhelm Rieken,Holz beschichtet,mittel,,
900171,,Langförden-Nord,Rieken,5849762,450025,1/1/1999,Wilhelm Rieken,Holz unbeschichtet,mittel,,
900172,,Langförden-Nord,Rieken,5849763,450019,1/1/1999,Wilhelm Rieken,Holz beschichtet,mittel,,
900173,,Langförden-Nord,Rieken,5849769,450031,1/1/2013,Wilhelm Rieken,Holzbeton,mittel,,
900174,,Langförden-Nord,Rieken,5849750,450036,1/1/2013,Wilhelm Rieken,Holz beschichtet,groß,,
900175,,Langförden-Nord,Rieken,5849761,450002,1/1/2013,Wilhelm Rieken,Holz beschichtet,mittel,,
900176,,Langförden-Nord,Rieken,5849777,449998,1/1/2013,Wilhelm Rieken,Holz beschichtet,mittel,,
900177,,Stoppelmarkt,Nerkamp,5844368,451948,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900178,,Stoppelmarkt,Nerkamp,5844362,451948,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900179,,Stoppelmarkt,Nerkamp,5844362,451922,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900180,,Stoppelmarkt,Nerkamp,5844377,451912,1/1/2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900181,,Stoppelmarkt,Nerkamp,5844365,451937,1/1/2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900182,,Stoppelmarkt,Nerkamp,5844366,451927,1/1/2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900183,,Stoppelmarkt,Nerkamp,5844375,451910,1/1/2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900184,,Stoppelmarkt,Nerkamp,,,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900185,,Stoppelmarkt,Nerkamp,5844371,451939,1/1/2013,Ludger Nerkamp,Holz beschichtet,groß,,
900186,,Stoppelmarkt,Nerkamp,,,1/1/2013,Ludger Nerkamp,Holz beschichtet,Halbhöhle,,
900187,,Stoppelmarkt,Nerkamp,5844379,451915,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900188,,Stoppelmarkt,Nerkamp,5844380,451935,1/1/2013,Ludger Nerkamp,Holz unbeschichtet,mittel,3er Spatzenhaus,
900189,,Stoppelmarkt,Nerkamp,5844380,451935,1/1/2013,Ludger Nerkamp,Holz unbeschichtet,mittel,3er Spatzenhaus,
900190,,Stoppelmarkt,Nerkamp,5844366,451912,1/1/1999,Ludger Nerkamp,Holz beschichtet,klein,,
900191,,Stoppelmarkt,Nerkamp,5844388,451967,1/1/2013,Ludger Nerkamp,Holz unbeschichtet,groß,,
900192,,Stoppelmarkt,Nerkamp,5844356,451974,1/1/2013,Ludger Nerkamp,Holz unbeschichtet,groß,,
900193,,Stoppelmarkt,Nerkamp,5844414,451986,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900194,,Stoppelmarkt,Nerkamp,5844419,451952,1/1/1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900195,,Stoppelmarkt,Nerkamp,5844418,451954,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900196,,Stoppelmarkt,Nerkamp,5844405,451947,1/1/1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900197,,Bergstrup,NABU-Biotop Streuobstwiese,5845488,452410,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900198,,Bergstrup,NABU-Biotop Streuobstwiese,5845481,452399,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900199,,Bergstrup,NABU-Biotop Streuobstwiese,5845453,452437,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900200,,Bergstrup,NABU-Biotop Streuobstwiese,5845445,452430,1/1/1999,NABU Vechta,Holz beschichtet,Sonstiges,Steinkauzröhre,
900201,,Stoppelmarkt,Hof to Aite,5844358,453014,1/1/1999,unbekannt,Holz unbeschichtet,klein,,
900202,,Stoppelmarkt,Hof to Aite,5844364,453045,1/1/1999,unbekannt,Holz unbeschichtet,groß,,
900203,,Stoppelmarkt,Hof to Aite,5844340,453017,1/1/1999,unbekannt,Holz unbeschichtet,mittel,,
900204,,Stoppelmarkt,Hof to Aite,5844342,453019,1/1/1999,unbekannt,Holz unbeschichtet,groß,,
900205,,Stoppelmarkt,Hof to Aite,5844329,453023,1/1/1999,unbekannt,Holz unbeschichtet,klein,,
900206,,Stoppelmarkt,Hof to Aite,5844331,453016,1/1/1999,unbekannt,Holz unbeschichtet,groß,,
900207,,Holzhausen,Wilmering,5844607,454505,1/1/1999,Ursula Wilmering,Holz unbeschichtet,klein,Naturstamm,
900208,,Vechta,Kolleg St. Thomas,5842293,452734,5/23/2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900209,,Vechta,Kolleg St. Thomas,5842322,452727,5/23/2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900210,,Vechta,Kolleg St. Thomas,5842286,452793,5/23/2013,Kolleg St. Thomas,Holzbeton,mittel,oval,
900211,,Vechta,Kolleg St. Thomas,5842276,452822,5/23/2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900212,,Vechta,Kolleg St. Thomas,5841960,452884,5/23/2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900213,,Vechta,Kolleg St. Thomas,5842254,452907,5/23/2013,Kolleg St. Thomas,Holzbeton,mittel,oval,
900214,,Vechta,Kolleg St. Thomas,5841203,453354,1/1/2013,NABU Vechta,Holz beschichtet,mittel,,
900215,,Vechta,Darener Wald,5841546,448855,1/1/1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900216,,Vechta,Oyther Straße,5843193,452817,12/31/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,Sonstiges,Baumläufer,
900217,,Vechta,Oyther Straße,5843194,452821,12/31/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,Sonstiges,Baumläufer,
900218,,Vechta,Landkreisgebäude,5842808,452419,12/22/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,Sonstiges,Baumläufer,
900219,,Vechta,Landkreisgebäude,5842736,452382,12/31/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900220,,Vechta,Landkreisgebäude,5842806,452373,12/31/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900221,,Vechta,Landkreisgebäude,5842831,452451,12/22/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900222,,Vechta,Landkreisgebäude,5842838,452408,12/4/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900223,,Vechta,Landkreisgebäude,5842821,452423,12/22/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,oval,
900224,,Vechta,Landkreisgebäude,5842794,452459,12/22/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,oval,
900225,,Vechta,Landkreisgebäude,5842731,452437,12/31/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,oval,
900226,,Vechta,Landkreisgebäude,5842830,452376,12/22/2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
