Nistkasten-nummer,Nummer-fremd,Ort,Ort detailliert,UTM-Hoch,UTM-Rechts,Aufhäng-Datum,Eigentümer,Material,Loch,Bemerkungen,Daten aktualisiert
900236,,Vechta,Landkreisgebäude,5842855,452307,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900237,,Vechta,Landkreisgebäude,5842843,452422,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900238,,Vechta,Landkreisgebäude,5842860,452450,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900239,,Vechta,Landkreisgebäude,5842825,451667,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900240,,Vechta,Landkreisgebäude,5842748,452320,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900241,,Vechta,Landkreisgebäude,5842811,452451,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900242,,Vechta,Landkreisgebäude,5842730,452393,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900243,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
900244,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
900245,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900246,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900247,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900248,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900249,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900250,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900251,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900252,,Vechta,Gymnasium Antonianum,,,,Beringergemeinschaft LK Vechta,Holzbeton,Halbhöhle,,
900253,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,Andreas Pieper,17-04-2017
900254,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,Andreas Pieper,17-04-2017
900255,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,Andreas Pieper,17-04-2017
900256,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,Andreas Pieper,17-04-2017
900257,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,Markus Böggemann,17-04-2017
900258,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval; Markus Böggemann,17-04-2017
900259,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,"oval, Andreas Pieper",17-04-2017
900260,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,Andreas Pieper,17-04-2017
900261,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,Andreas Pieper,17-04-2017
900262,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,Halbhöhle,Andreas Pieper,17-04-2017
900263,,Vechta,Ludgerusschule,5843543,452324,01-04-2014,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
900264,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
900265,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900266,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900267,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,klein,,
900268,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900269,, ,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,oval,
900270,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900271,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,groß,,
900272,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,Halbhöhle,,
900273,,,,,,,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
900274,,Vechta,"EK-Schule, Grafenhorststraße 19",,,01-01-2014,Beringergemeinschaft LK Vechta,Holzbeton,mittel,,
