Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400196,14-05-2012,in Ordnung,nein,ja,0,8,10,Kohlmeise,8,
900028,14-05-2012,in Ordnung,nein,ja,2,3,1,Kohlmeise,0,Weibchen beringt
900029,14-05-2012,leicht defekt,nein,nein, , , , , ,
900030,14-05-2012,in Ordnung,nein,ja,0,12,2,Blaumeise,0,
900031,14-05-2012,in Ordnung,nein,ja,0,6,1,Tannenmeise,0,
900032,14-05-2012,leicht defekt,nein,nein, , , , , ,
900033,14-05-2012,in Ordnung,nein,ja,0,8,3,Kohlmeise,0,
900034,14-05-2012,in Ordnung,nein,nein, , , , , ,
900035,14-05-2012,leicht defekt,nein,ja,0,9,5,Kohlmeise,9,
900036,14-05-2012,in Ordnung,nein,nein, , , , , ,
900037,14-05-2012,in Ordnung,nein,ja,0,5,2,Kohlmeise,0,
900038,14-05-2012,leicht defekt,nein,ja,5,0, ,Kohlmeise, ,
900039,14-05-2012,in Ordnung,nein,ja,0,10,3,Blaumeise,0,
900040,14-05-2012,in Ordnung,nein,ja,5,1,1,Kohlmeise,0,Weibchen beringt
900041,14-05-2012,in Ordnung,nein,ja,5,0, ,Trauerschnäpper, ,Weibchen beringt
900042,14-05-2012,in Ordnung,nein,ja,2,4,1,Kohlmeise,0,
900043,14-05-2012,in Ordnung,nein,ja,7,0, ,Kohlmeise, ,
900044,14-05-2012,in Ordnung,nein,nein, , , , , ,vorjährig Hornisse
900045,14-05-2012,in Ordnung,nein,ja,0,8,1,Blaumeise,0,
900046,14-05-2012,in Ordnung,nein,nein, , , , , ,
900047,14-05-2012,in Ordnung,nein,unbekannt, , , , , ,nicht kontrolliert -> zu hoch
900048,14-05-2012,in Ordnung,nein,ja,5,0, ,Trauerschnäpper,0,Weibchen beringt
900049,14-05-2012,in Ordnung,nein,ja,0,5,10,Star,5,
900050,14-05-2012,in Ordnung,nein,nein, , , , , ,
900051,14-05-2012,in Ordnung,nein,nein, , , , , ,
900052,14-05-2012,in Ordnung,nein,ja,0,10,1,Blaumeise,0,
900053,14-05-2012,in Ordnung,nein,ja,3,5,1,Kohlmeise,0,Weibchen beringt
900054,14-05-2012,in Ordnung,nein,ja,0,8,3,Kohlmeise,0,
900055,14-05-2012,in Ordnung,nein,nein, , , , , ,
900056,14-05-2012,in Ordnung,nein,ja,0,7,5,Kohlmeise,0,
900057,14-05-2012,in Ordnung,nein,nein, , , , , ,
900058,14-05-2012,leicht defekt,nein,ja,0,5,4,Kohlmeise,0,
900059,14-05-2012,in Ordnung,nein,ja,0,3,2,Kleiber,0,Weibchen beringt
900060,14-05-2012,in Ordnung,nein,ja,0,6,2,unbestimmt,0,
900061,14-05-2012,in Ordnung,nein,ja,0,6,3,Kleiber,0,
900062,14-05-2012,leicht defekt,nein,ja,6,0, ,Kohlmeise, ,
900063,14-05-2012,in Ordnung,nein,nein, , , , , ,
900064,14-05-2012,in Ordnung,nein,ja,10,0, ,Kohlmeise, ,
900065,14-05-2012,in Ordnung,ja,ja,6,3,1,Blaumeise,0,prädiert
900066,14-05-2012,in Ordnung,nein,nein, , , , , ,
900067,14-05-2012,in Ordnung,nein,ja,4,0, ,Kohlmeise, ,
900068,14-05-2012,in Ordnung,nein,ja,0,7,4,Blaumeise,0,
900069,14-05-2012,in Ordnung,nein,ja,0,5,1,unbestimmt,0,
900070,14-05-2012,in Ordnung,nein,ja,3,0, ,Kohlmeise, ,
900071,14-05-2012,in Ordnung,nein,ja,0,6,12,Kleiber,6,
900072,14-05-2012,defekt,nein,ja,0,0, ,Meise unbestimmt, ,
900073,14-05-2012,in Ordnung,nein,ja,0,10,1,Blaumeise,0,
900074,14-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
900075,14-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
900076,14-05-2012,in Ordnung,nein,ja,8,1,1,Blaumeise,0,Weibchen beringt
900077,14-05-2012,in Ordnung,nein,ja,3,5,1,Kohlmeise,0,
900078,14-05-2012,in Ordnung,nein,nein, , , , , ,
900079,14-05-2012,in Ordnung,nein,ja,0,6,2,Kohlmeise,0,
900080,14-05-2012,in Ordnung,nein,ja,0,8,1,Blaumeise,0,
900081,14-05-2012,leicht defekt,nein,nein, , , , , ,
900082,14-05-2012,in Ordnung,nein,ja,8,0, ,Kohlmeise, ,
900083,14-05-2012,in Ordnung,nein,ja,0,6,1,Kohlmeise,0,
900084,14-05-2012,in Ordnung,nein,ja,0,12,1,Blaumeise,0,
900085,14-05-2012,in Ordnung,nein,ja,0,5,1,Blaumeise,0,
900086,14-05-2012,Vorderfront gebrochen,nein,ja,0,0, ,Hohltaube, ,
900087,14-05-2012,in Ordnung,nein,ja,2,0, ,Blaumeise, ,
900088,14-05-2012,in Ordnung,nein,ja,11,0, ,Kohlmeise, ,
900089,14-05-2012,in Ordnung,nein,ja,9,0, ,Kohlmeise, ,
900090,14-05-2012,in Ordnung,nein,ja,12,0, ,Blaumeise, ,Weibchen beringt
900091,14-05-2012,in Ordnung,nein,ja,8,0, ,Kohlmeise, ,Weibchen beringt
900092,14-05-2012,in Ordnung,nein,ja,8,0, ,Blaumeise, ,Weibchen beringt
